Nome,ISIN
A2a,IT0001233417
Abitare In,IT0005445280
Acea,IT0001207098
Aeffe,IT0001384590
Aeroporto Guglielmo Marconi Di Bologna,IT0001006128
Alerion,IT0004720733
Algowatt,IT0004359037
Alkemy,IT0005314635
Amplifon,IT0004056880
Anima Holding,IT0004998065
Antares Vision,IT0005366601
Aquafil,IT0005241192
Ariston Holding,NL0015000N33
Ascopiave,IT0004093263
Autostrade Merid,IT0000084043
Avio,IT0005119810
Azimut,IT0003261697
Banca Generali,IT0001031084
Banca Ifis,IT0003188064
Banca Mediolanum,IT0004776628
Banca Monte Paschi Siena,IT0005508921
Banca Sistema,IT0003173629
Banco Bpm,IT0005218380
Basicnet,IT0001033700
Bastogi Spa,IT0004412497
Bca Pop Sondrio,IT0000784196
Bca Profilo,IT0001073045
Beewize,IT0001487047
Beghelli,IT0001223277
Bff Bank,IT0005244402
Bialetti Industrie,IT0004222102
Biesse,IT0003097257
Bioera,IT0005516130
Borgosesia,IT0003217335
Bper Banca,IT0000066123
Brembo,IT0005252728
Brioschi,IT0000066180
Brunello Cucinelli,IT0004764699
Buzzi,IT0001347308
Cairo Communication,IT0004329733
Caleffi,IT0003025019
Caltagirone,IT0003127930
Campari,NL0015435975
Carel Industries,IT0005331019
Cellularline,IT0005244618
Cembre,IT0001128047
Cementir Holding,NL0013995087
Centrale Del Latte D'Italia,IT0003023980
Cia,IT0003389522
Cir,IT0000070786
Civitanavi Systems,IT0005466153
Class Editori,IT0005117848
Cnh Industrial,NL0010545661
Conafi,IT0004105653
Credem,IT0003121677
Csp Int Ind Calze,IT0001127874
D'Amico,LU2592315662
Danieli & C,IT0000076502
Datalogic,IT0004053440
De'Longhi,IT0003115950
Diasorin,IT0003492391
Digital Bros,IT0001469995
Dovalue,IT0001044996
Eems,IT0001498234
El.En.,IT0005453250
Elica,IT0003404214
Emak,IT0001237053
Enav,IT0005176406
Enel,IT0003128367
Enervit,IT0004356751
Eni,IT0003132476
Eprice,IT0005084717
Equita Group,IT0005312027
Erg,IT0001157020
Esprinet,IT0003850929
Eurogroup Laminations,IT0005527616
Eurotech,IT0003895668
Exprivia,IT0001477402
Ferrari,NL0011585146
Fidia,IT0001498481
Fiera Milano,IT0003365613
Fila,IT0004967292
Fincantieri,IT0001415246
Fine Foods & Pharmaceuticals Ntm,IT0005215329
Finecobank,IT0000072170
Fnm,IT0000060886
Gabetti,IT0005023038
Garofalo Health Care,IT0005345233
Gas Plus,IT0004098510
Gefran,IT0003203947
Generali Ass,IT0000062072
Geox,IT0003697080
Gequity,IT0004942915
Giglio Group,IT0005122400
Gpi,IT0005221517
Greenthesis,IT0001042297
Gvs,IT0005411209
Hera,IT0001250932
I Grandi Viaggi,IT0005108219
Igd,IT0005322612
Il Sole 24 Ore,IT0005283111
Illimity Bank,IT0005359192
Immsi,IT0001413837
Industrie De Nora,IT0005186371
Intercos,IT0005455875
Interpump Group,IT0001078911
Intesa Sanpaolo,IT0000072618
Inwit,IT0005090300
Iren,IT0003027817
It Way,IT0003057624
Italgas,IT0005211237
Italian Exhibition Group,IT0003411417
Italmobiliare,IT0005253205
Iveco Group,NL0015000LU4
Juventus Fc,IT0000336518
Kme Group,IT0004552359
Landi Renzo,IT0004210289
Leonardo,IT0003856405
Luve,IT0005107492
Lventure Group,IT0005013013
Maire Tecnimont,IT0004931058
Marr,IT0003428445
Mediobanca,IT0000062957
Mfe A,NL0015000MZ1
Mfe B,NL0015000N09
Moncler,IT0004965148
Mondadori Edit,IT0001469383
Mondo Tv,IT0001447785
Monrif,IT0000066016
Mutuionline,IT0004195308
Neodecortech,IT0005275778
Netweek,IT0005545675
Newlat Food,IT0005385213
Nexi,IT0005366767
Olidata,IT0001350625
Openjobmetis,IT0003683528
Orsero,IT0005138703
Ovs,IT0005043507
Pharmanutra,IT0005274094
Piaggio,IT0003073266
Pierrel,IT0005549644
Pininfarina Spa,IT0003056386
Piquadro,IT0004240443
Pirelli & C,IT0005278236
Plc,IT0005339160
Poste Italiane,IT0003796171
Prysmian,IT0004176001
Rai Way,IT0005054967
Ratti,IT0004724107
Rcs Mediagroup,IT0004931496
Recordati Ord,IT0003828271
Reply,IT0005282865
Restart,IT0005349052
Risanamento,IT0001402269
S.S. Lazio,IT0003621783
Sabaf,IT0001042610
Saes Getters,IT0001029492
Safilo Group,IT0004604762
Saipem,IT0005495657
Salcef Group,IT0005388266
Salvatore Ferragamo,IT0004712375
Sanlorenzo,IT0003549422
Saras,IT0000433307
Seco,IT0005438046
Seri Industrial,IT0005283640
Servizi Italia,IT0003814537
Sesa,IT0004729759
Sit,IT0005262149
Snam,IT0003153415
Softlab,IT0001469953
Sogefi,IT0000076536
Sol,IT0001206769
Somec,IT0005329815
Stellantis,NL00150001Q9
Stmicroelectronics,NL0000226223
Tamburi,IT0003153621
Technogym,IT0005162406
Telecom Italia,IT0003497168
Tenaris,LU0156801721
Terna,IT0003242622
Tesmec,IT0004585243
Tessellis,IT0005496473
The Italian Sea Group,IT0005439085
Tinexta,IT0005037210
Tod'S,IT0003007728
Trevi Fin Ind,IT0005422768
Triboo,IT0005001554
Txt E-Solutions,IT0001454435
Unicredit,IT0005239360
Unieuro,IT0005239881
Unipol,IT0004810054
Unipolsai,IT0004827447
Valsoia,IT0001018362
Webuild,IT0003865570
Wiit,IT0005440893
Zignago Vetro,IT0004171440
Zucchi,IT0005395071
